Site,Insecticide,Dose,Responded,Subjects,Replicate,Mortality_perc
A,PY_control,0,0,25,1,0
A,PY_control,0,0,25,2,0
A,PY_control,0,0,25,3,0
A,PY_control,0,0,25,4,0
A,Alpha_cypermethrin,0.0015625,11,25,1,44
A,Alpha_cypermethrin,0.003125,21,25,1,84
A,Alpha_cypermethrin,0.00625,23,25,1,92
A,Alpha_cypermethrin,0.0083,25,25,1,100
A,Alpha_cypermethrin,0.017,25,25,1,100
A,Alpha_cypermethrin,0.05,25,25,1,100
A,Alpha_cypermethrin,0.0015625,4,25,2,16
A,Alpha_cypermethrin,0.003125,15,25,2,60
A,Alpha_cypermethrin,0.00625,21,25,2,84
A,Alpha_cypermethrin,0.0083,25,25,2,100
A,Alpha_cypermethrin,0.017,25,25,2,100
A,Alpha_cypermethrin,0.05,25,25,2,100
J,PY_control,0,1,24,1,4.166666667
J,PY_control,0,0,25,2,0
J,Alpha_cypermethrin,0.05,24,24,1,100
J,Alpha_cypermethrin,0.017,27,27,1,100
J,Alpha_cypermethrin,0.0083,25,25,1,100
J,Alpha_cypermethrin,0.00625,22,23,1,95.65217391
J,Alpha_cypermethrin,0.003125,20,24,1,83.33333333
J,Alpha_cypermethrin,0.0015625,1,26,1,3.846153846
J,PY_control,0,1,25,3,4
J,PY_control,0,0,26,4,0
J,Alpha_cypermethrin,0.05,25,25,2,100
J,Alpha_cypermethrin,0.017,24,24,2,100
J,Alpha_cypermethrin,0.0083,26,26,2,100
J,Alpha_cypermethrin,0.00625,24,25,2,96
J,Alpha_cypermethrin,0.003125,16,24,2,66.66666667
J,Alpha_cypermethrin,0.0015625,1,26,2,3.846153846
P,PY_control,0,0,24,1,0
P,PY_control,0,0,20,2,0
P,Alpha_cypermethrin,0.05,22,22,1,100
P,Alpha_cypermethrin,0.05,20,20,2,100
P,Alpha_cypermethrin,0.05,20,20,3,100
P,Alpha_cypermethrin,0.05,22,22,4,100
P,Alpha_cypermethrin,0.017,23,23,1,100
P,Alpha_cypermethrin,0.017,24,24,2,100
P,Alpha_cypermethrin,0.017,24,24,3,100
P,Alpha_cypermethrin,0.017,25,25,4,100
P,Alpha_cypermethrin,0.0083,21,22,1,95.45454545
P,Alpha_cypermethrin,0.0083,23,24,2,95.83333333
P,Alpha_cypermethrin,0.0083,20,24,3,83.33333333
P,Alpha_cypermethrin,0.0083,22,23,4,95.65217391
P,Alpha_cypermethrin,0.00625,21,23,1,91.30434783
P,Alpha_cypermethrin,0.00625,23,25,2,92
P,Alpha_cypermethrin,0.00625,18,25,3,72
P,Alpha_cypermethrin,0.00625,25,25,4,100
P,Alpha_cypermethrin,0.003125,19,21,1,90.47619048
P,Alpha_cypermethrin,0.003125,25,25,2,100
P,Alpha_cypermethrin,0.003125,20,25,3,80
P,Alpha_cypermethrin,0.003125,20,24,4,83.33333333
P,Alpha_cypermethrin,0.0015625,16,25,1,64
P,Alpha_cypermethrin,0.0015625,23,23,2,100
P,Alpha_cypermethrin,0.0015625,12,24,3,50
P,Alpha_cypermethrin,0.0015625,18,22,4,81.81818182
C,PY_control,0,0,25,1,0
C,PY_control,0,0,24,2,0
C,PY_control,0,0,25,3,0
C,PY_control,0,0,26,4,0
C,Alpha_cypermethrin,0.05,25,25,1,100
C,Alpha_cypermethrin,0.017,25,25,1,100
C,Alpha_cypermethrin,0.0083,24,24,1,100
C,Alpha_cypermethrin,0.00625,20,25,1,80
C,Alpha_cypermethrin,0.003125,20,24,1,83.33333333
C,Alpha_cypermethrin,0.0015625,16,23,1,69.56521739
C,Alpha_cypermethrin,0.05,25,25,2,100
C,Alpha_cypermethrin,0.017,25,25,2,100
C,Alpha_cypermethrin,0.0083,22,23,2,95.65217391
C,Alpha_cypermethrin,0.00625,21,25,2,84
C,Alpha_cypermethrin,0.003125,17,25,2,68
C,Alpha_cypermethrin,0.0015625,12,25,2,48
C,Alpha_cypermethrin,0.05,25,25,3,100
C,Alpha_cypermethrin,0.017,25,25,3,100
C,Alpha_cypermethrin,0.0083,24,24,3,100
C,Alpha_cypermethrin,0.00625,23,25,3,92
C,Alpha_cypermethrin,0.003125,21,25,3,84
C,Alpha_cypermethrin,0.0015625,21,26,3,80.76923077
C,Alpha_cypermethrin,0.05,25,25,4,100
C,Alpha_cypermethrin,0.017,23,25,4,92
C,Alpha_cypermethrin,0.0083,22,23,4,95.65217391
C,Alpha_cypermethrin,0.00625,18,26,4,69.23076923
C,Alpha_cypermethrin,0.003125,11,25,4,44
C,Alpha_cypermethrin,0.0015625,10,25,4,40
G,PY_control,0,0,24,1,0
G,PY_control,0,0,25,2,0
G,PY_control,0,0,25,3,0
G,PY_control,0,0,25,4,0
G,PY_control,0,0,24,5,0
G,PY_control,0,0,25,6,0
G,PY_control,0,0,25,7,0
G,PY_control,0,0,24,8,0
G,Alpha_cypermethrin,0.0015625,2,26,1,7.692307692
G,Alpha_cypermethrin,0.0015625,9,24,2,37.5
G,Alpha_cypermethrin,0.0015625,2,25,3,8
G,Alpha_cypermethrin,0.0015625,8,26,4,30.76923077
G,Alpha_cypermethrin,0.003125,23,24,1,95.83333333
G,Alpha_cypermethrin,0.003125,19,25,2,76
G,Alpha_cypermethrin,0.003125,20,25,3,80
G,Alpha_cypermethrin,0.003125,22,26,4,84.61538462
G,Alpha_cypermethrin,0.00625,20,24,1,83.33333333
G,Alpha_cypermethrin,0.00625,21,25,2,84
G,Alpha_cypermethrin,0.00625,20,24,3,83.33333333
G,Alpha_cypermethrin,0.00625,24,24,4,100
G,Alpha_cypermethrin,0.0083,23,24,1,95.83333333
