Site,Insecticide,Dose,Responded,Subjects,Replicate,Mortality_perc
P,OC_Control,0,0,25,1,0
P,OC_Control,0,0,25,2,0
P,DDT,4,24,24,1,100
P,DDT,4,24,24,2,100
P,DDT,4,23,23,3,100
P,DDT,4,23,23,4,100
P,DDT,2,14,20,1,70
P,DDT,2,20,20,2,100
P,DDT,2,18,22,3,81.81818182
P,DDT,2,20,21,4,95.23809524
P,DDT,1,0,25,1,0
P,DDT,1,7,25,2,28
P,DDT,1,6,19,3,31.57894737
P,DDT,1,5,24,4,20.83333333
P,DDT,0.5,0,22,1,0
P,DDT,0.5,0,20,2,0
P,DDT,0.5,1,21,3,4.761904762
P,DDT,0.5,1,20,4,5
P,DDT,0.25,0,22,1,0
P,DDT,0.25,0,24,2,0
P,DDT,0.25,0,23,3,0
P,DDT,0.25,0,25,4,0
M,OC_Control,0,1,25,1,4
M,OC_Control,0,2,25,2,8
M,DDT,0.25,4,25,1,16
M,DDT,0.5,9,25,1,36
M,DDT,1,16,25,1,64
M,DDT,2,24,25,1,96
M,DDT,4,25,25,1,100
M,OC_Control,0,2,25,3,8
M,OC_Control,0,1,25,4,4
M,DDT,0.25,8,25,2,32
M,DDT,0.5,17,25,2,68
M,DDT,1,22,25,2,88
M,DDT,2,25,25,2,100
M,DDT,4,25,25,2,100
M,OC_Control,0,2,25,5,8
M,OC_Control,0,2,25,6,8
M,DDT,0.25,6,25,3,24
M,DDT,0.5,8,25,3,32
M,DDT,1,17,25,3,68
M,DDT,2,25,25,3,100
M,DDT,4,25,25,3,100
M,OC_Control,0,0,25,7,0
M,OC_Control,0,0,25,8,0
M,DDT,0.25,0,25,4,0
M,DDT,0.5,2,25,4,8
M,DDT,1,15,25,4,60
M,DDT,2,24,25,4,96
M,DDT,4,25,25,4,100
F,OC_Control,0,0,27,1,0
F,OC_Control,0,0,26,2,0
F,OC_Control,0,0,26,3,0
F,DDT,4,26,26,1,100
F,DDT,4,26,26,2,100
F,DDT,4,26,26,3,100
F,DDT,4,26,26,4,100
F,DDT,0.25,3,28,1,10.71428571
F,DDT,0.25,1,25,2,4
F,DDT,0.25,0,27,3,0
F,DDT,0.25,0,27,4,0
C,DDT,4,23,24,1,95.83333333
C,DDT,2,18,25,1,72
C,DDT,1,8,25,1,32
C,DDT,0.5,7,27,1,25.92592593
C,DDT,0.25,0,25,1,0
C,DDT,4,20,25,2,80
C,DDT,2,19,25,2,76
C,DDT,1,5,25,2,20
C,DDT,0.5,2,25,2,8
C,DDT,0.25,5,25,2,20
C,OC_Control,0,0,25,1,0
C,DDT,4,23,23,3,100
C,DDT,2,19,25,3,76
C,DDT,1,11,25,3,44
C,DDT,0.5,11,25,3,44
C,DDT,0.25,7,25,3,28
C,OC_Control,0,0,25,2,0
C,DDT,4,20,25,4,80
C,DDT,2,11,25,4,44
C,DDT,1,7,25,4,28
C,DDT,0.5,2,25,4,8
C,DDT,0.25,2,23,4,8.695652174
C,OC_Control,0,0,25,3,0
I,OC_Control,0,1,25,3,4
I,OC_Control,0,0,25,4,0
I,DDT,4,22,25,1,88
I,DDT,4,24,25,2,96
I,DDT,4,22,25,3,88
I,DDT,4,23,25,4,92
I,DDT,2,17,25,1,68
I,DDT,2,20,25,2,80
I,DDT,2,19,25,3,76
I,DDT,2,22,25,4,88
I,DDT,1,22,25,1,88
I,DDT,1,23,25,2,92
I,DDT,1,20,25,3,80
I,DDT,1,19,25,4,76
I,DDT,0.5,23,25,1,92
I,DDT,0.5,21,25,2,84
I,DDT,0.5,21,25,3,84
I,DDT,0.5,19,25,4,76
I,DDT,0.25,10,25,1,40
I,DDT,0.25,16,25,2,64
I,DDT,0.25,13,25,3,52
I,DDT,0.25,13,25,4,52
J,OC_Control,0,0,27,1,0
J,OC_Control,0,0,22,2,0
J,DDT,4,22,25,1,88
J,DDT,2,17,26,1,65.38461538
J,DDT,1,1,25,1,4
J,DDT,0.5,0,25,1,0
J,DDT,0.25,0,26,1,0
J,OC_Control,0,0,26,3,0
J,OC_Control,0,0,25,4,0
J,DDT,4,23,25,2,92
J,DDT,2,16,25,2,64
J,DDT,1,1,26,2,3.846153846
J,DDT,0.5,1,25,2,4
J,DDT,0.25,0,24,2,0
B,OC_Control,0,0,26,1,0
B,OC_Control,0,1,26,2,3.846153846
B,DDT,4,6,25,1,24
B,DDT,2,17,26,1,65.38461538
B,DDT,2,8,23,2,34.7826087
B,DDT,1,6,25,1,24
B,DDT,0.5,3,26,1,11.53846154
B,DDT,0.5,3,24,2,12.5
B,DDT,0.25,1,24,1,4.166666667
B,DDT,0.25,2,26,2,7.692307692
A,OC_Control,0,0,25,1,0
A,OC_Control,0,0,25,2,0
A,OC_Control,0,0,25,3,0
A,DDT,0.25,3,25,1,12
A,DDT,0.5,11,25,1,44
A,DDT,1,17,25,1,68
A,DDT,2,23,25,1,92
A,DDT,4,23,25,1,92
A,DDT,0.25,1,25,2,4
A,DDT,0.5,1,25,2,4
A,DDT,1,4,25,2,16
A,DDT,2,8,25,2,32
A,DDT,4,24,25,2,96
G,OC_Control,0,0,25,1,0
G,OC_Control,0,0,25,2,0
G,OC_Control,0,0,25,3,0
G,OC_Control,0,0,25,4,0
G,OC_Control,0,0,25,1,0
G,OC_Control,0,0,25,2,0
G,OC_Control,0,0,25,3,0
G,OC_Control,0,0,25,4,0
G,DDT,0.25,2,25,1,8
G,DDT,0.25,3,25,2,12
G,DDT,0.25,2,25,3,8
G,DDT,0.25,2,25,4,8
G,DDT,0.5,19,24,1,79.16666667
G,DDT,0.5,14,23,2,60.86956522
G,DDT,0.5,12,26,3,46.15384615
G,DDT,0.5,11,25,4,44
G,DDT,1,24,25,1,96
G,DDT,1,24,25,2,96
G,DDT,1,25,25,3,100
G,DDT,1,19,23,4,82.60869565
G,DDT,2,25,25,1,100
G,DDT,2,25,25,2,100
G,DDT,2,25,25,3,100
G,DDT,2,24,24,4,100
G,DDT,4,23,23,1,100
G,DDT,4,24,24,2,100
G,DDT,4,25,25,3,100
G,DDT,4,24,24,4,100
L,OC_Control,0,0,25,1,0
L,OC_Control,0,0,25,1,0
L,OC_Control,0,0,25,1,0
L,OC_Control,0,0,25,1,0
L,OC_Control,0,0,25,1,0
L,OC_Control,0,0,25,2,0
L,OC_Control,0,0,25,2,0
L,OC_Control,0,0,25,2,0
L,OC_Control,0,0,25,2,0
L,OC_Control,0,0,25,2,0
L,DDT,0.25,0,25,1,0
L,DDT,4,23,25,1,92
L,DDT,0.5,6,25,1,24
L,DDT,1,19,25,1,76
L,DDT,2,24,25,1,96
L,DDT,0.25,4,25,2,16
L,DDT,4,24,25,2,96
L,DDT,0.5,8,25,2,32
L,DDT,1,17,25,2,68
L,DDT,2,25,25,2,100
L,DDT,0.25,4,25,3,16
L,DDT,4,20,25,3,80
L,DDT,0.5,2,25,3,8
L,DDT,1,20,25,3,80
L,DDT,2,15,25,3,60
L,DDT,0.25,5,25,4,20
L,DDT,4,23,25,4,92
L,DDT,0.5,14,25,4,56
L,DDT,1,20,25,4,80
L,DDT,2,25,25,4,100
N,OC_Control,0,0,25,1,0
N,OC_Control,0,0,25,2,0
N,OC_Control,0,0,26,3,0
N,OC_Control,0,1,25,4,4
N,DDT,0.25,0,25,1,0
N,DDT,0.25,0,25,2,0
N,DDT,0.25,0,25,3,0
N,DDT,0.25,0,25,4,0
N,DDT,0.5,4,26,1,15.38461538
N,DDT,0.5,12,25,2,48
N,DDT,0.5,3,25,3,12
N,DDT,0.5,1,25,4,4
N,DDT,1,14,26,1,53.84615385
N,DDT,1,24,25,2,96
N,DDT,1,18,25,3,72
N,DDT,1,20,26,4,76.92307692
N,DDT,2,25,25,1,100
N,DDT,2,26,26,2,100
N,DDT,2,25,25,3,100
N,DDT,2,24,24,4,100
N,DDT,4,25,25,1,100
N,DDT,4,24,24,2,100
N,DDT,4,24,24,3,100
N,DDT,4,25,25,4,100
D,OC_Control,0,0,25,1,0
D,DDT,4,25,25,1,100
D,DDT,2,25,25,1,100
D,DDT,1,4,25,1,16
D,DDT,0.5,1,25,1,4
D,DDT,0.25,0,25,1,0
D,OC_Control,0,0,25,2,0
D,DDT,4,22,25,2,88
D,DDT,2,20,25,2,80
D,DDT,1,0,25,2,0
D,DDT,0.5,0,25,2,0
D,DDT,0.25,0,25,2,0
D,OC_Control,0,0,25,3,0
D,DDT,4,24,25,3,96
D,DDT,2,23,25,3,92
D,DDT,1,2,25,3,8
D,DDT,0.5,0,25,3,0
D,DDT,0.25,0,25,3,0
O,DDT,0.25,17,25,1,68
O,DDT,0.25,13,24,2,54.16666667
O,DDT,0.25,6,25,3,24
O,DDT,0.25,10,25,4,40
O,DDT,4,25,25,1,100
O,DDT,4,23,23,2,108.6956522
O,DDT,4,24,25,3,96
O,DDT,4,24,25,4,96
H,DDT,4,25,25,1,100
H,DDT,0.25,3,21,2,14.28571429
H,DDT,0.25,0,22,3,0
H,DDT,0.25,5,25,4,20
H,OC_Control,0,0,25,1,0
H,DDT,0.25,4,25,1,16
H,OC_Control,0,0,25,2,0
H,DDT,4,25,25,2,100
H,OC_Control,0,0,25,3,0
H,DDT,4,22,22,3,100
H,DDT,4,25,25,4,100
H,OC_Control,0,0,25,4,0
A,OC_Control,0,0,25,1,0
A,DDT,1,25,25,2,100
A,DDT,0.25,6,25,1,24
A,DDT,4,25,25,1,100
A,DDT,0.5,19,25,1,76
A,DDT,2,25,25,1,100
A,DDT,1,21,25,1,84
E,OC_Control,0,0,25,1,
E,OC_Control,0,0,25,2,
E,OC_Control,0,0,25,3,
E,OC_Control,0,0,25,4,
E,OC_Control,0,0,25,5,
E,OC_Control,0,0,25,6,
E,OC_Control,0,0,25,7,
E,OC_Control,0,0,25,8,
E,DDT,4,25,25,1,
E,DDT,4,18,25,2,
E,DDT,4,20,23,3,
E,DDT,4,19,25,4,
E,DDT,2,17,23,1,
E,DDT,2,14,25,2,
E,DDT,2,14,23,3,
E,DDT,2,16,25,4,
E,DDT,1,8,25,1,
E,DDT,1,9,24,2,
E,DDT,1,2,23,3,
E,DDT,1,4,25,4,
E,DDT,0.5,5,24,1,
E,DDT,0.5,0,25,2,
E,DDT,0.5,0,25,3,
E,DDT,0.5,0,25,4,
E,DDT,0.25,0,24,1,
E,DDT,0.25,0,24,2,
E,DDT,0.25,0,25,3,
E,DDT,0.25,0,23,4,
K_star,OC_Control,0,0,25,1,
K_star,DDT,1,25,25,2,
K_star,DDT,0.25,6,25,1,
K_star,DDT,4,25,25,1,
K_star,DDT,0.5,19,25,1,
K_star,DDT,2,25,25,1,
K_star,DDT,1,21,25,1,
