Site,Insecticide,Dose,Responded,Subjects,Replicate,Mortality_perc
P,PY_control,0,0,24,1,0
P,PY_control,0,0,20,2,0
P,Permethrin,0.75,25,25,1,100
P,Permethrin,0.75,25,25,2,100
P,Permethrin,0.75,25,25,3,100
P,Permethrin,0.75,24,24,4,100
P,Permethrin,0.25,23,25,1,92
P,Permethrin,0.25,19,24,2,79.16666667
P,Permethrin,0.25,20,20,3,100
P,Permethrin,0.25,22,25,4,88
P,Permethrin,0.125,18,24,1,75
P,Permethrin,0.125,13,24,2,54.16666667
P,Permethrin,0.125,13,23,3,56.52173913
P,Permethrin,0.125,12,23,4,52.17391304
P,Permethrin,0.09375,7,24,1,29.16666667
P,Permethrin,0.09375,10,25,2,40
P,Permethrin,0.09375,6,22,3,27.27272727
P,Permethrin,0.09375,7,25,4,28
P,Permethrin,0.046875,0,24,1,0
P,Permethrin,0.046875,0,24,2,0
P,Permethrin,0.046875,2,24,3,8.333333333
P,Permethrin,0.046875,0,20,4,0
P,Permethrin,0.0234375,0,25,1,0
P,Permethrin,0.0234375,1,24,2,4.166666667
P,Permethrin,0.0234375,2,20,3,10
P,Permethrin,0.0234375,0,20,4,0
C,PY_control,0,0,25,1,0
C,PY_control,0,0,24,2,0
C,PY_control,0,0,25,3,0
C,PY_control,0,0,26,4,0
C,Permethrin,0.75,25,25,1,100
C,Permethrin,0.25,25,25,1,100
C,Permethrin,0.125,23,27,1,85.18518519
C,Permethrin,0.09375,15,24,1,62.5
C,Permethrin,0.046875,6,26,1,23.07692308
C,Permethrin,0.0234375,5,25,1,20
C,Permethrin,0.75,25,25,2,100
C,Permethrin,0.25,21,23,2,91.30434783
C,Permethrin,0.125,17,25,2,68
C,Permethrin,0.09375,22,25,2,88
C,Permethrin,0.046875,5,25,2,20
C,Permethrin,0.0234375,9,24,2,37.5
C,Permethrin,0.75,25,25,3,100
C,Permethrin,0.25,25,25,3,100
C,Permethrin,0.125,25,25,3,100
C,Permethrin,0.09375,18,24,3,75
C,Permethrin,0.046875,11,24,3,45.83333333
C,Permethrin,0.0234375,6,25,3,24
C,Permethrin,0.75,24,25,4,96
C,Permethrin,0.25,20,25,4,80
C,Permethrin,0.125,11,27,4,40.74074074
C,Permethrin,0.09375,9,26,4,34.61538462
C,Permethrin,0.046875,0,27,4,0
C,Permethrin,0.0234375,5,25,4,20
I,PY_control,0,0,25,1,0
I,PY_control,0,0,25,2,0
I,Permethrin,0.75,25,25,1,100
I,Permethrin,0.75,25,25,2,100
I,Permethrin,0.75,25,25,3,100
I,Permethrin,0.75,25,25,4,100
I,Permethrin,0.25,25,25,1,100
I,Permethrin,0.25,24,25,2,96
I,Permethrin,0.25,25,25,3,100
I,Permethrin,0.25,24,25,4,96
I,Permethrin,0.125,23,25,1,92
I,Permethrin,0.125,14,25,2,56
I,Permethrin,0.125,16,25,3,64
I,Permethrin,0.125,18,25,4,72
I,Permethrin,0.09375,11,25,1,44
I,Permethrin,0.09375,10,25,2,40
I,Permethrin,0.09375,11,25,3,44
I,Permethrin,0.09375,11,25,4,44
I,Permethrin,0.046875,21,25,1,84
I,Permethrin,0.046875,16,25,2,64
I,Permethrin,0.046875,16,25,3,64
I,Permethrin,0.046875,9,25,4,36
I,Permethrin,0.0234375,22,25,1,88
I,Permethrin,0.0234375,9,25,2,36
I,Permethrin,0.0234375,17,25,3,68
I,Permethrin,0.0234375,13,25,4,52
F,PY_control,0,0,25,1,0
F,PY_control,0,0,26,2,0
F,PY_control,0,0,26,3,0
F,PY_control,0,0,27,4,0
F,Permethrin,0.75,26,26,1,100
F,Permethrin,0.75,27,27,2,100
F,Permethrin,0.75,26,26,3,100
F,Permethrin,0.75,26,26,4,100
F,Permethrin,0.0234375,8,27,1,29.62962963
F,Permethrin,0.0234375,1,28,2,3.571428571
F,Permethrin,0.0234375,2,27,3,7.407407407
F,Permethrin,0.0234375,1,28,4,3.571428571
M,PY_control,0,0,25,1,0
M,PY_control,0,0,25,2,0
M,Permethrin,0.0234375,1,25,1,4
M,Permethrin,0.046875,1,25,1,4
M,Permethrin,0.09375,4,25,1,16
M,Permethrin,0.125,7,25,1,28
M,Permethrin,0.25,16,25,1,64
M,Permethrin,0.75,25,25,1,100
M,PY_control,0,0,25,3,0
M,PY_control,0,0,25,4,0
M,Permethrin,0.0234375,2,25,2,8
M,Permethrin,0.046875,0,25,2,0
M,Permethrin,0.09375,1,25,2,4
M,Permethrin,0.125,1,25,2,4
M,Permethrin,0.25,6,25,2,24
M,Permethrin,0.75,25,25,2,100
M,PY_control,0,0,25,5,0
M,PY_control,0,0,25,6,0
M,Permethrin,0.0234375,1,25,3,4
M,Permethrin,0.046875,0,25,3,0
M,Permethrin,0.09375,10,25,3,40
M,Permethrin,0.125,7,25,3,28
M,Permethrin,0.25,6,25,3,24
M,Permethrin,0.75,23,25,3,92
M,PY_control,0,1,25,7,4
M,PY_control,0,0,25,8,0
M,Permethrin,0.0234375,1,25,4,4
M,Permethrin,0.046875,1,25,4,4
M,Permethrin,0.09375,4,25,4,16
M,Permethrin,0.125,7,25,4,28
M,Permethrin,0.25,10,25,4,40
M,Permethrin,0.75,23,25,4,92
J,PY_control,0,0,23,1,0
J,PY_control,0,0,26,2,0
J,Permethrin,0.75,24,24,1,100
J,Permethrin,0.25,25,25,1,100
J,Permethrin,0.125,21,23,1,91.30434783
J,Permethrin,0.09375,18,24,1,75
J,Permethrin,0.046875,3,23,1,13.04347826
J,Permethrin,0.0234375,8,21,1,38.0952381
J,PY_control,0,0,23,3,0
J,PY_control,0,0,25,4,0
J,Permethrin,0.75,25,25,2,100
J,Permethrin,0.25,24,24,2,100
J,Permethrin,0.125,24,25,2,96
J,Permethrin,0.09375,15,25,2,60
J,Permethrin,0.046875,1,25,2,4
J,Permethrin,0.0234375,15,23,2,65.2173913
G,PY_control,0,0,24,1,0
G,PY_control,0,0,25,2,0
G,PY_control,0,0,25,3,0
G,PY_control,0,0,25,4,0
G,PY_control,0,0,24,5,0
G,PY_control,0,0,25,6,0
G,PY_control,0,0,25,7,0
G,PY_control,0,0,24,8,0
G,Permethrin,0.0234375,0,25,1,0
G,Permethrin,0.0234375,3,25,2,12
G,Permethrin,0.0234375,1,24,3,4.166666667
G,Permethrin,0.0234375,1,25,4,4
G,Permethrin,0.046875,1,24,1,4.166666667
G,Permethrin,0.046875,0,23,2,0
G,Permethrin,0.046875,1,25,3,4
G,Permethrin,0.046875,0,24,4,0
G,Permethrin,0.09375,2,22,1,9.090909091
G,Permethrin,0.09375,5,26,2,19.23076923
G,Permethrin,0.09375,2,25,3,8
G,Permethrin,0.09375,2,26,4,7.692307692
G,Permethrin,0.125,9,23,1,39.13043478
G,Permethrin,0.125,13,26,2,50
G,Permethrin,0.125,13,26,3,50
G,Permethrin,0.125,13,25,4,52
G,Permethrin,0.25,24,25,1,96
G,Permethrin,0.25,21,25,2,84
G,Permethrin,0.25,20,26,3,76.92307692
G,Permethrin,0.25,24,25,4,96
G,Permethrin,0.75,24,24,1,100
G,Permethrin,0.75,24,24,2,100
G,Permethrin,0.75,25,25,3,100
G,Permethrin,0.75,25,25,4,100
B,PY_control,0,0,26,1,0
B,PY_control,0,1,26,2,3.846153846
B,Permethrin,0.75,19,20,1,95
B,Permethrin,0.25,19,24,1,79.16666667
B,Permethrin,0.125,7,19,1,36.84210526
B,Permethrin,0.09375,5,24,1,20.83333333
B,Permethrin,0.046875,6,25,1,24
B,Permethrin,0.046875,6,25,2,24
B,Permethrin,0.0234375,2,24,1,8.333333333
A,PY_control,0,0,25,1,0
A,PY_control,0,0,25,2,0
A,PY_control,0,0,25,3,0
A,PY_control,0,0,25,4,0
A,Permethrin,0.0234375,4,25,1,16
