Site,Insecticide,Dose,Responded,Subjects,Replicate,Mortality_perc
P,Acetone,0,0,25,1,
P,Acetone,0,0,45,2,
P,PM,170,24,24,1,
P,PM,170,25,25,2,
P,PM,170,24,24,3,
P,PM,170,23,23,4,
P,PM,56.67,24,24,1,
P,PM,56.67,24,24,2,
P,PM,56.67,25,25,3,
P,PM,56.67,21,21,4,
P,PM,34,21,25,1,
P,PM,34,24,24,2,
P,PM,34,25,25,3,
P,PM,34,21,21,4,
P,PM,28.33,21,22,1,
P,PM,28.33,20,20,2,
P,PM,28.33,24,24,3,
P,PM,28.33,19,20,4,
P,PM,21.25,22,25,1,
P,PM,21.25,20,20,2,
P,PM,21.25,20,21,3,
P,PM,21.25,17,23,4,
P,PM,10.625,15,23,1,
P,PM,10.625,21,23,2,
P,PM,10.625,22,25,3,
P,PM,10.625,7,21,4,
M,Acetone,0,0,25,1,
M,Acetone,0,0,25,2,
M,PM,10.625,0,25,1,
M,PM,21.25,0,25,1,
M,PM,28.33,0,25,1,
M,PM,34,0,25,1,
M,PM,56.67,25,25,1,
M,PM,170,25,25,1,
M,Acetone,0,0,25,3,
M,Acetone,0,1,25,4,
M,PM,10.625,6,25,2,
M,PM,21.25,8,25,2,
M,PM,28.33,17,25,2,
M,PM,34,20,25,2,
M,PM,56.67,25,25,2,
M,PM,170,25,25,2,
M,Acetone,0,0,25,5,
M,Acetone,0,0,25,6,
M,PM,10.625,0,25,3,
M,PM,21.25,4,25,3,
M,PM,28.33,13,25,3,
M,PM,34,19,25,3,
M,PM,56.67,25,25,3,
M,PM,170,25,25,3,
M,Acetone,0,0,25,7,
M,Acetone,0,0,25,8,
M,PM,10.625,0,25,4,
M,PM,21.25,0,25,4,
M,PM,28.33,7,25,4,
M,PM,34,16,25,4,
M,PM,56.67,25,25,4,
M,PM,170,25,25,4,
F,PM,170,27,27,1,
F,PM,170,26,26,2,
F,PM,170,25,25,3,
F,PM,170,27,27,4,
F,PM,10.625,20,26,1,
F,PM,10.625,4,24,2,
F,PM,10.625,5,27,3,
F,PM,10.625,3,26,4,
F,Acetone,0,0,24,1,
F,Acetone,0,0,27,2,
F,Acetone,0,0,26,3,
F,Acetone,0,0,26,4,
J,PM,170,23,23,1,
J,PM,56.67,24,24,1,
J,PM,34,25,25,1,
J,PM,28.33,23,24,1,
J,PM,21.25,25,25,1,
J,PM,10.625,24,24,1,
J,Acetone,0,0,21,1,
J,Acetone,0,0,23,2,
J,PM,170,23,23,2,
J,PM,56.67,25,25,2,
J,PM,34,23,23,2,
J,PM,28.33,22,22,2,
J,PM,21.25,28,28,2,
J,PM,10.625,27,27,2,
J,Acetone,0,0,25,3,
J,Acetone,0,0,23,4,
G,Acetone,0,0,25,1,
G,Acetone,0,0,25,2,
G,Acetone,0,0,25,3,
G,Acetone,0,0,25,4,
G,Acetone,0,0,25,5,
G,Acetone,0,0,25,6,
G,Acetone,0,0,25,7,
G,Acetone,0,0,25,8,
G,PM,10.625,25,25,1,
G,PM,10.625,24,24,2,
G,PM,10.625,25,25,3,
G,PM,10.625,25,25,4,
G,PM,21.25,25,25,1,
G,PM,21.25,25,25,2,
G,PM,21.25,25,25,3,
G,PM,21.25,25,25,4,
G,PM,28.33,24,24,1,
